TimeStamps,X,Y,Z,,Mag.
2018-07-04T12:04:57.008634,-1.155,0.295,0.049,1,1.193084658
2018-07-04T12:04:57.070805,-0.717,0.144,0.132,1,0.743134577
2018-07-04T12:04:57.116927,-0.717,0.144,0.132,1,0.743134577
2018-07-04T12:04:57.199149,-0.768,0.366,0.223,1,0.879493604
2018-07-04T12:04:57.243267,-0.811,0.764,0.293,1,1.15207031
2018-07-04T12:04:57.289390,-0.811,0.764,0.293,1,1.15207031
2018-07-04T12:04:57.336517,-0.746,0.687,0.309,1,1.060172627
2018-07-04T12:04:57.386149,-0.736,0.176,0.17,1,0.775610727
2018-07-04T12:04:57.430266,-0.736,0.176,0.17,1,0.775610727
2018-07-04T12:04:57.492544,-0.885,0.167,0.355,1,0.968059399
2018-07-04T12:04:57.541173,-0.885,0.167,0.355,1,0.968059399
2018-07-04T12:04:57.591307,-0.649,0.692,0.363,1,1.015792302
2018-07-04T12:04:57.634423,-0.371,0.429,0.208,1,0.604107606
2018-07-04T12:04:57.692578,-0.371,0.429,0.208,1,0.604107606
2018-07-04T12:04:57.742798,-0.522,-0.296,-0.242,1,0.647042502
2018-07-04T12:04:57.791932,-0.479,-0.667,-0.366,1,0.899047274
2018-07-04T12:04:57.843069,-0.479,-0.667,-0.366,1,0.899047274
2018-07-04T12:04:57.887189,-0.867,-1.079,-0.339,1,1.425079296
2018-07-04T12:04:57.930805,-0.867,-1.079,-0.339,1,1.425079296
2018-07-04T12:04:58.002738,-0.604,-1.772,-1.215,1,2.231821005
2018-07-04T12:04:58.041843,0.245,-2.087,-0.836,1,2.261523823
2018-07-04T12:04:58.086078,0.245,-2.087,-0.836,1,2.261523823
2018-07-04T12:04:58.136211,-0.14,-1.121,-0.341,1,1.180051694
2018-07-04T12:04:58.180329,0.012,-0.427,-0.203,1,0.472950315
2018-07-04T12:04:58.226953,0.012,-0.427,-0.203,1,0.472950315
2018-07-04T12:04:58.283104,0.037,-0.33,-0.11,1,0.349812807
2018-07-04T12:04:58.323712,0.037,-0.33,-0.11,1,0.349812807
2018-07-04T12:04:58.368331,-0.085,-0.659,-0.003,1,0.664465951
2018-07-04T12:04:58.415962,-0.14,-1.175,-0.508,1,1.287745705
2018-07-04T12:04:58.461082,-0.14,-1.175,-0.508,1,1.287745705
2018-07-04T12:04:58.610100,-0.404,-0.862,-0.598,1,1.124217061
2018-07-04T12:04:58.657226,-0.272,-0.509,-0.152,1,0.596798961
2018-07-04T12:04:58.703354,-0.272,-0.509,-0.152,1,0.596798961
2018-07-04T12:12:34.164278,-1.122,0.126,0.411,6,1.201532771
2018-07-04T12:12:34.212411,-1.122,0.126,0.411,6,1.201532771
2018-07-04T12:12:34.259538,-1.118,-0.128,-0.051,6,1.12645861
2018-07-04T12:12:34.304162,-1.118,-0.128,-0.051,6,1.12645861
2018-07-04T12:12:34.352293,-0.79,-0.224,-0.299,6,0.873886148
2018-07-04T12:12:34.407442,-1.051,-0.003,-0.155,6,1.062372345
2018-07-04T12:12:34.466101,-1.051,-0.003,-0.155,6,1.062372345
2018-07-04T12:12:34.510221,-0.976,-0.114,-0.08,6,0.985886403
2018-07-04T12:12:34.555343,-0.976,-0.114,-0.08,6,0.985886403
2018-07-04T12:12:34.602972,-0.97,-0.125,-0.129,6,0.986491764
2018-07-04T12:12:34.652607,-0.966,-0.172,-0.103,6,0.986584512
2018-07-04T12:12:34.762906,-1.06,-0.117,-0.128,6,1.074091709
2018-07-04T12:12:34.807025,-1.296,-0.093,-0.038,6,1.299888072
2018-07-04T12:12:34.850644,-1.296,-0.093,-0.038,6,1.299888072
2018-07-04T12:12:34.899777,-1.411,-0.19,0.189,6,1.436224913
2018-07-04T12:12:34.944899,-1.411,-0.19,0.189,6,1.436224913
2018-07-04T12:12:34.991525,-1.223,-0.209,-0.314,6,1.279846084
2018-07-04T12:12:35.046675,-1.073,-0.009,-0.185,6,1.088868679
2018-07-04T12:12:35.086858,-1.073,-0.009,-0.185,6,1.088868679
2018-07-04T12:12:35.133484,-0.673,-0.272,-0.079,6,0.730173952
2018-07-04T12:12:35.181615,-0.673,-0.272,-0.079,6,0.730173952
2018-07-04T12:12:35.226738,-0.465,-0.248,-0.059,6,0.530292372
2018-07-04T12:12:35.273865,-0.897,-0.25,0.298,6,0.977708034
2018-07-04T12:12:35.341047,-0.897,-0.25,0.298,6,0.977708034
2018-07-04T12:12:35.382158,-1.737,0.245,0.852,6,1.950153327
2018-07-04T12:12:35.432294,-0.958,-0.14,-0.061,6,0.970095356
2018-07-04T12:12:35.516522,-0.827,-0.189,-0.252,6,0.884959886
2018-07-04T12:12:35.554124,-0.827,-0.189,-0.252,6,0.884959886
2018-07-04T12:12:35.601252,-1.031,0.032,-0.224,6,1.055538251
2018-07-04T12:12:35.652390,-1.031,0.032,-0.224,6,1.055538251
2018-07-04T12:12:35.695507,-0.959,-0.215,-0.11,6,0.988941859
2018-07-04T12:12:35.742636,-0.977,-0.005,-0.17,6,0.991692493
2018-07-04T12:12:35.791267,-0.977,-0.005,-0.17,6,0.991692493
2018-07-04T12:12:35.835387,-0.989,-0.113,-0.063,6,0.997426188
2018-07-04T12:12:35.883016,-0.989,-0.113,-0.063,6,0.997426188
2018-07-04T12:12:35.937163,-1.041,-0.07,-0.098,6,1.047943224
2018-07-04T12:12:35.977773,-1.057,-0.111,-0.167,6,1.075852685
2018-07-04T12:12:36.022895,-1.057,-0.111,-0.167,6,1.075852685
2018-07-04T12:12:36.087069,-1.435,-0.009,0.189,6,1.44742081
2018-07-04T12:12:36.134698,-1.384,-0.054,-0.13,6,1.391140539
2018-07-04T12:12:36.182327,-1.384,-0.054,-0.13,6,1.391140539
2018-07-04T12:12:36.230458,-1.283,-0.008,-0.303,6,1.318317868
2018-07-04T12:12:36.273574,-1.283,-0.008,-0.303,6,1.318317868
2018-07-04T12:12:36.319699,-0.865,-0.247,-0.038,6,0.900376588
2018-07-04T12:12:36.368832,-0.865,-0.247,-0.038,6,0.900376588
2018-07-04T12:12:36.440527,-0.529,-0.247,-0.016,6,0.584042807
2018-07-04T12:12:36.477126,-0.438,-0.273,0.062,6,0.519824009
2018-07-04T12:12:36.532777,-1.503,0.141,0.68,6,1.655684149
2018-07-04T12:12:36.575393,-1.503,0.141,0.68,6,1.655684149
2018-07-04T12:12:36.620013,-1.146,-0.359,0.338,6,1.247574046
2018-07-04T12:12:36.669650,-1.146,-0.359,0.338,6,1.247574046
2018-07-04T12:12:36.713769,-1.169,0.067,-0.045,6,1.17178283
2018-07-04T12:12:36.776943,-0.772,0.121,-0.269,6,0.82642967
2018-07-04T12:12:36.882228,-1.102,-0.066,-0.014,6,1.104063404
2018-07-04T12:12:36.930359,-0.963,-0.131,-0.147,6,0.9829237
2018-07-04T12:12:36.976985,-0.963,-0.131,-0.147,6,0.9829237
2018-07-04T12:12:37.024810,-0.973,-0.149,-0.184,6,1.001392031
2018-07-04T12:12:37.085474,-0.944,-0.171,-0.118,6,0.966592468
2018-07-04T12:12:37.133103,-0.944,-0.171,-0.118,6,0.966592468
2018-07-04T12:12:37.187751,-0.981,-0.208,-0.072,6,1.005389974
2018-07-04T12:12:37.255435,-1.113,0.017,-0.121,6,1.11968701
2018-07-04T12:12:37.306072,-1.113,0.017,-0.121,6,1.11968701
2018-07-04T12:12:37.353199,-1.384,0.012,0.107,6,1.388181905
2018-07-04T12:12:37.407848,-1.44,-0.164,0.103,6,1.452964212
2018-07-04T12:12:37.461995,-1.44,-0.164,0.103,6,1.452964212
2018-07-04T12:12:37.513133,-1.302,0.154,-0.49,6,1.399649956
2018-07-04T12:12:37.562268,-0.994,0.066,-0.282,6,1.035333763
2018-07-04T12:12:37.604882,-0.994,0.066,-0.282,6,1.035333763
2018-07-04T12:12:37.650004,-0.636,-0.259,-0.155,6,0.703990057
2018-07-04T12:12:37.708663,-0.636,-0.259,-0.155,6,0.703990057
2018-07-04T12:12:37.757296,-0.574,-0.356,-0.156,6,0.693215695
2018-07-04T12:12:37.805927,-1.191,-0.249,0.396,6,1.279569459
2018-07-04T12:12:37.853556,-1.191,-0.249,0.396,6,1.279569459
2018-07-04T12:12:37.898678,-1.464,0.104,0.748,6,1.647305679
2018-07-04T12:12:37.945806,-1.464,0.104,0.748,6,1.647305679
2018-07-04T12:12:38.000454,-0.997,-0.124,-0.264,6,1.038788236
2018-07-04T12:12:38.054100,-0.818,-0.045,-0.257,6,0.858602353
2018-07-04T12:12:38.101227,-0.818,-0.045,-0.257,6,0.858602353
2018-07-04T12:12:38.150361,-1.06,-0.032,-0.182,6,1.075986989
2018-07-04T12:12:38.243614,-0.963,-0.214,-0.103,6,0.99185382
2018-07-04T12:12:38.289738,-0.928,-0.142,-0.266,6,0.975758167
2018-07-04T12:12:38.347896,-0.998,-0.204,-0.062,6,1.020521435
2018-07-04T12:12:38.403547,-0.998,-0.204,-0.062,6,1.020521435
2018-07-04T12:12:38.449171,-1.07,-0.301,-0.074,6,1.113991472
2018-07-04T12:12:38.498805,-1.07,-0.301,-0.074,6,1.113991472
2018-07-04T12:12:38.544429,-1.095,-0.024,-0.147,6,1.105083707
2018-07-04T12:12:38.586543,-1.433,-0.077,0.186,6,1.447070834
2018-07-04T12:12:38.652221,-1.433,-0.077,0.186,6,1.447070834
2018-07-04T12:12:38.697343,-1.302,-0.051,-0.112,6,1.30780312
2018-07-04T12:12:38.743970,-1.248,0.088,-0.427,6,1.32195953
2018-07-04T12:12:38.792100,-1.248,0.088,-0.427,6,1.32195953
2018-07-04T12:12:38.836721,-0.96,-0.112,-0.184,6,0.98386991
2018-07-04T12:12:38.883848,-0.96,-0.112,-0.184,6,0.98386991
2018-07-04T12:12:38.943009,-0.636,-0.309,-0.084,6,0.712062497
2018-07-04T12:12:38.993646,-0.552,-0.37,-0.015,6,0.664702189
2018-07-04T12:12:39.040342,-0.552,-0.37,-0.015,6,0.664702189
2018-07-04T12:12:39.087470,-1.292,-0.036,0.62,6,1.433513167
2018-07-04T12:12:39.133093,-1.257,0.262,0.561,6,1.401218755
2018-07-04T12:12:39.182227,-1.257,0.262,0.561,6,1.401218755
2018-07-04T12:12:39.236374,-1.114,-0.27,-0.066,6,1.148151558
2018-07-04T12:12:39.295032,-0.78,-0.197,-0.317,6,0.864695322
2018-07-04T12:12:39.336645,-0.78,-0.197,-0.317,6,0.864695322
2018-07-04T12:12:39.383272,-1.054,0.006,-0.182,6,1.069614884
2018-07-04T12:12:39.443435,-1.054,0.006,-0.182,6,1.069614884
2018-07-04T12:12:39.493571,-0.972,-0.167,-0.061,6,0.98812651
2018-07-04T12:12:39.539696,-0.996,-0.031,-0.134,6,1.00545164
2018-07-04T12:12:39.671052,-0.995,-0.067,-0.097,6,1.00195958
2018-07-04T12:12:39.718681,-1.024,-0.15,-0.085,6,1.038412731
2018-07-04T12:12:39.763302,-1.05,-0.045,-0.21,6,1.071739241
2018-07-04T12:12:39.815944,-1.05,-0.045,-0.21,6,1.071739241
2018-07-04T12:12:39.867083,-1.427,-0.14,0.093,6,1.436863946
2018-07-04T12:12:39.915214,-1.427,-0.14,0.093,6,1.436863946
2018-07-04T12:12:39.963344,-1.342,-0.201,0.084,6,1.359566475
2018-07-04T12:12:40.023507,-1.247,-0.065,-0.376,6,1.304074384
2018-07-04T12:12:40.071136,-1.247,-0.065,-0.376,6,1.304074384
2018-07-04T12:12:40.117762,-0.939,-0.148,-0.085,6,0.954384618
2018-07-04T12:12:40.166532,-0.57,-0.174,-0.047,6,0.597816862
2018-07-04T12:12:40.211152,-0.57,-0.174,-0.047,6,0.597816862
2018-07-04T12:12:40.258280,-0.455,-0.257,-0.07,6,0.527232397
